Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x)
04-Feb-19,755,762,747.85,755.65,329.744,5778,24.8597481,330117.2127,23.51262199,21.97704632,36582.74,4.968776786,4.800564915,14.99412445,13.66896668,4.705473697,4.167094329
01-Feb-19,753.8,761.8,745,756.55,374.496,6725,28.2219001,330510.3914,23.54062617,22.00322158,36469.43,4.974694736,4.80628252,15.01293863,13.68628657,4.711078046,4.172057453
31-Jan-19,728,751,727.05,749.6,1128.305,20774,84.3233612,327474.1781,23.32437166,21.80109034,36256.69,4.928995009,4.762129902,14.86765136,13.55253857,4.667800018,4.133731104
30-Jan-19,727.35,734.65,720.6,724.85,653.889,4105,47.4150396,316661.7636,22.55425666,21.08127046,35591.25,4.766251377,4.604895757,14.35026144,13.07624173,4.51368042,3.997245185
29-Jan-19,728.2,730.35,716.55,727.35,618.662,3916,44.5918084,317753.9266,22.63204606,21.15397954,35592.5,4.782690128,4.620777994,14.40252305,13.12435252,4.529248056,4.011031642
28-Jan-19,732.9,733.85,719.05,728.2,500.333,3925,36.3929155,318125.2621,22.65847151,21.17867918,35656.7,4.788274614,4.626173418,14.42027658,13.140696,4.534536461,4.01571497
25-Jan-19,728.7,737.4,725,730.2,176.637,3236,12.9187354,318998.9926,22.72070296,21.23684638,36025.54,4.801425601,4.638879195,14.46208582,13.1791846,4.546990557,4.026744124
24-Jan-19,729.5,739,721.4,732.8,185.362,3723,13.5094991,320134.8422,22.80160384,21.31246375,36195.1,4.818521885,4.655396706,14.51643784,13.22921977,4.563180882,4.041082024
23-Jan-19,743.25,743.25,729.05,731.45,250.11,5385,18.3785439,319544.7505,22.75959761,21.27320089,36108.47,4.809644969,4.646820306,14.4882166,13.20323997,4.554774367,4.033637345
22-Jan-19,740.65,747.2,733.85,744.35,241.18,4592,17.8325111,325180.3063,23.16099048,21.64837935,36444.64,4.894468839,4.728772568,14.75788622,13.4514914,4.635103288,4.104775389
